Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-12 08:00:00,34.63,35.25,0.11850615574421278,0.19377520906159723
2015-01-12 09:00:00,34.03,37.22,0.07284701651065222,0.33993990543016067
2015-01-12 10:00:00,30.84,44.24,-0.16990740708111093,0.8607907523881893
2015-01-12 11:00:00,30.07,41.88,-0.22850330243084682,0.6856898978552909
2015-01-12 12:00:00,29.33,33.64,-0.2848162408189049,0.07432081253703524
2015-01-12 13:00:00,29.39,32.65,-0.28025032689554863,0.0008674879660310892
2015-01-12 14:00:00,28.98,33.38,-0.3114507387051483,0.05503004042747878
2015-01-12 15:00:00,29.49,33.77,-0.2726404703566221,0.08396619859181373
2015-01-12 16:00:00,29.7,33.37,-0.25665977162487585,0.05428808765403391
2015-01-12 17:00:00,30.25,35.06,-0.21480556066077872,0.1796781063661522
2015-01-12 18:00:00,29.97,32.73,-0.23611315896977367,0.006803110153586841
2015-01-12 19:00:00,28.93,31.7,-0.3152556669746117,-0.06961802551119492
2015-01-12 20:00:00,28.26,31.48,-0.36624170578542076,-0.08594098652697349
2015-01-12 21:00:00,27.8,31.44,-0.40124704586448384,-0.08890879762075138
2015-01-12 22:00:00,27.63,30.48,-0.4141838019806594,-0.16013626387142196
2015-01-12 23:00:00,26.4,29.3,-0.5077850374094584,-0.24768669113787117
2015-01-13 00:00:00,28.12,27.98,-0.37689550493991825,-0.3456244572325432
2015-01-13 01:00:00,27.91,23.49,-0.3928762036716645,-0.678761252509117
2015-01-13 02:00:00,27.87,21.33,-0.3959201462872351,-0.8390230515731257
2015-01-13 03:00:00,28.02,26.5,-0.38450536147884506,-0.45543346770232696
2015-01-13 04:00:00,28.95,26.03,-0.3137336956668264,-0.49030524805421766
2015-01-13 05:00:00,29.88,26.6,-0.24296202985480772,-0.448013939967882
2015-01-13 06:00:00,31.84,31.45,-0.09380884169184353,-0.08816684484730704
2015-01-13 07:00:00,35.04,33.62,0.14970656755381215,0.07283690699014603
2015-01-13 08:00:00,35.65,33.52,0.19612669244126524,0.06541737925570161
2015-01-13 09:00:00,34.95,30.87,0.14285769666877837,-0.13120010570708704
2015-01-13 10:00:00,34.87,31.19,0.13676981143763656,-0.1074576169568635
2015-01-13 11:00:00,34.5,31.06,0.10861334224360782,-0.11710300301164199
